OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,LICHT,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
109129,7.1712E+18,7,1,40,14,2017,12,9,6,3,5,2,0,1,0,0,0,0,1,3.94648E+20,5.55094E+21,7.52685E+15,5.01014E+16
109130,7.1712E+18,7,1,11,0,2017,12,15,6,3,1,6,0,1,0,0,0,0,0,3.99543E+20,5.58065E+21,7.58741E+15,5.03693E+16
109131,7.17113E+18,7,3,33,502,2017,11,8,5,3,6,4,0,1,0,0,1,0,1,4.1492E+20,5.4983E+21,7.82182E+15,4.96313E+16
109132,7.17113E+18,7,3,36,38,2017,11,14,5,3,4,6,0,1,0,0,1,0,1,3.99359E+20,5.49794E+21,7.60648E+15,4.96256E+16
109133,7.17113E+18,7,3,32,2,2017,11,8,5,2,6,4,0,1,1,0,0,1,1,4.39804E+20,5.479E+21,8.16931E+15,4.94607E+16
109134,7.17113E+18,7,3,32,14,2017,11,22,5,3,4,6,0,1,0,0,0,2,2,4.28377E+20,5.46669E+21,8.01386E+15,4.93487E+16
109135,7.17113E+18,7,3,16,0,2017,11,17,5,3,5,3,0,1,0,0,0,1,1,4.38577E+20,5.46799E+21,8.15409E+15,4.93615E+16
109136,7.17113E+18,7,3,37,5,2017,11,13,5,3,6,4,0,1,1,0,0,0,1,4.26461E+20,5.43895E+21,7.99257E+15,4.9099E+16
109137,7.17113E+18,7,3,37,76,2017,11,11,5,2,5,3,1,1,0,0,0,0,1,4.29497E+20,5.43352E+21,8.0351E+15,4.90505E+16
109138,7.17122E+18,7,2,11,0,2017,12,17,3,3,2,1,0,1,0,0,0,1,1,3.32281E+20,5.51472E+21,6.67114E+15,4.97616E+16
109139,7.17122E+18,7,2,35,27,2017,12,17,3,3,4,6,0,1,0,0,0,2,1,3.33389E+20,5.50601E+21,6.69023E+15,4.96836E+16
109140,7.17122E+18,7,2,11,0,2017,12,15,3,3,1,6,0,1,0,0,1,0,1,3.2905E+20,5.50888E+21,6.62888E+15,4.97081E+16
109141,7.17121E+18,7,3,33,10,2017,12,14,4,3,8,1,0,1,0,0,0,0,2,4.22732E+20,5.5002E+21,7.9296E+15,4.96494E+16
109142,7.17113E+18,7,3,18,0,2017,11,7,5,3,0,1,0,0,0,1,0,1,1,4.59792E+20,5.46364E+21,8.44667E+15,4.93241E+16
109143,7.17113E+18,7,3,14,0,2017,11,17,5,3,5,2,0,1,0,0,0,2,1,4.597E+20,5.48081E+21,8.44366E+15,4.94786E+16
109144,7.17113E+18,7,1,33,102,2017,11,6,5,3,5,3,0,1,0,1,0,2,1,4.06172E+20,5.51518E+21,7.69665E+15,4.97817E+16
109145,7.17113E+18,7,3,19,0,2017,11,9,5,2,1,1,0,1,0,0,0,0,1,4.53271E+20,5.50327E+21,8.35226E+15,4.96802E+16
109146,7.17113E+18,7,3,39,43,2017,11,18,5,3,4,7,0,1,0,0,0,2,1,4.53612E+20,5.5236E+21,8.35456E+15,4.9863E+16
109147,7.17113E+18,7,3,15,0,2017,11,13,5,3,5,2,0,1,0,0,0,0,0,4.43407E+20,5.53458E+21,8.21097E+15,4.99609E+16
109148,7.17113E+18,7,3,15,0,2017,11,21,5,2,5,3,0,1,0,0,0,2,1,4.46145E+20,5.5394E+21,8.24847E+15,5.00044E+16
109149,7.17122E+18,7,1,41,29,2017,12,15,3,3,5,3,0,1,0,0,1,0,1,4.31273E+20,5.58048E+21,8.03352E+15,5.03724E+16
